uri_slug,pref_label,alt_labels,hidden_labels,definition,broader_slug,related_slugs,scope_note,example
lead,Lead,,,"A prospect who has provided contact information (email, phone, etc.) and can be followed up with. Entered the marketing funnel through form submission, download, or other capture mechanism.",marketing-seo,,Source: marketing-terms-glossary.md,
lead-based-paint-disclosure,Lead-Based Paint Disclosure,Lead Paint Disclosure|Lead Hazard Disclosure|Lead Safety Disclosure,,A federal requirement for landlords to inform tenants about known lead-based paint hazards in properties built before 1978.,strategy-planning,,Source: retail-property-glossary.md,
lead-capture-rate,Lead Capture Rate,LCR|Capture Rate|Lead Conversion Rate|Visitor-to-Lead Conversion|Form Completion Rate,,"The percentage of website visitors or landing page viewers who complete a form or provide contact information, calculated by dividing captured leads by total unique visitors and multiplying by 100.",marketing-seo,,Source: marketing-terms-glossary.md,
lead-qualification-rate,Lead Qualification Rate,LQR|Qualification Rate|Lead Quality Rate|Qualified Lead Percentage|Lead Scoring Rate,,"The percentage of captured leads that meet predefined criteria for sales readiness or quality standards, calculated by dividing qualified leads by total leads captured and multiplying by 100.",marketing-seo,,Source: marketing-terms-glossary.md,
lead-to-customer-conversion-rate,Lead-to-Customer Conversion Rate,LTCCR|L2C|Lead Conversion Rate|Customer Conversion Rate|Lead-to-Sale Rate|Lead Success Rate,,"The percentage of captured leads that ultimately become paying customers, calculated by dividing new customers by total leads captured and multiplying by 100, measuring overall funnel effectiveness.",marketing-seo,,Source: marketing-terms-glossary.md,
lead-to-opportunity-conversion-rate,Lead-to-Opportunity Conversion Rate,LTOCR|L2O|Lead Opportunity Rate|L2O Conversion|Opportunity Conversion Rate|Lead-to-Opp Rate,,"The percentage of captured leads that progress to become viable sales opportunities in the pipeline, calculated by dividing opportunities created by total leads and multiplying by 100.",marketing-seo,,Source: marketing-terms-glossary.md,
leads-by-source,Leads By Source,LBS|Lead Source Distribution|Source Attribution|Lead Attribution|Channel Leads|Traffic Source Leads,,"The breakdown and categorization of captured leads according to their originating marketing channel, such as organic search, paid advertising, social media, referrals, or direct traffic.",marketing-seo,,Source: marketing-terms-glossary.md,
lean,Lean,,,"A methodology emphasizing waste reduction, continuous improvement, and maximizing customer value.",product-management,,Source: lean-startup-glossary.md,
lean-canvas,Lean Canvas,,,A one-page business plan template adapted for startups to describe and test their business model.,software-development,,Source: lean-startup-glossary.md,
lean-startup,Lean Startup,,,"A methodology focusing on quickly building products to test hypotheses, validated learning, and iterative development.",product-management,,Source: lean-startup-glossary.md,
lease-agreement,Lease Agreement,Rental Agreement|Lease Contract|Tenancy Agreement|Rental Contract,,"A legally binding contract between a landlord and tenant that outlines the terms and conditions of renting property, including rent amount, duration, and responsibilities.",strategy-planning,,Source: retail-property-glossary.md,
lease-terms,Lease Terms,Lease Conditions|Lease Provisions|Contract Terms|Rental Terms,,"The specific conditions, clauses, and provisions outlined in a lease agreement, including duration, rent amount, renewal options, and tenant obligations.",strategy-planning,,Source: retail-property-glossary.md,
letter-of-credit,Letter of Credit,LOC|L/C|Bank Letter of Credit|Credit Guarantee|Bank Guarantee,,"A financial instrument provided by a bank that guarantees payment to a landlord if a tenant defaults on lease obligations, often required for commercial leases.",strategy-planning,,Source: retail-property-glossary.md,
liability-insurance,Liability Insurance,General Liability Insurance|Public Liability Coverage|Third-Party Insurance,,Insurance coverage that protects property owners and tenants against claims for bodily injury or property damage that may occur on the premises.,strategy-planning,,Source: retail-property-glossary.md,
library,Library,Code Library|Software Library|Module|Package,,A collection of pre-written code modules and functions that developers can use in their applications to perform common tasks without writing code from scratch.,software-development,,Source: software-dev-glossary.md,
lifecycle,Lifecycle,Product Lifecycle|Life Cycle,,The series of stages a product goes through from inception to end-of-life.,product-management,,Source: product-management-glossary.md,
lifecycle-management,Lifecycle Management,LCM|Service Lifecycle Management|Product Lifecycle|Service Evolution,,"The systematic approach to managing a service through all stages of its existence, from conception to retirement.",service-design,,Source: service-as-product-glossary.md,
lifetime-value,Lifetime Value,LTV|LTV|Customer Lifetime Value (CLV),,The predicted net profit attributed to the entire future relationship with a customer.,operations,,Source: lean-startup-glossary.md,
limited-liability-company,Limited Liability Company,LLC|Limited liability corporation,,A business structure that combines the pass-through taxation of a partnership or sole proprietorship with the limited liability of a corporation.,strategy-planning,,Source: business-plan-glossary.md,
